"","logID","fightID","sourceID","boss.x","rank_boss.x","Horde","PI","Salv","Vate","Wild Magic","Flm. Cap","Hotstreak","Speed","IB","BoP","Evo","FM","Tricks","Tenti","Bomb","Sapp","cs","Tailor","character_name","class","spec","dps","duration","duration_s","fightStartTime","logStartTime","boss.y","rank_boss.y","cat_ranking","gameID","server"
"28","24QK3Cw7VdP6y8gD",6,6,"Twin Val'kyr",152,2,0,2,0,0,0,59,4,0,0,0,7,0,0,7,0,0,0,"Hotnfrosty","Mage","Fire",19204.6752971,150707,150.707,1694110377786,1694109443641,"Twin Val'kyr",152,"200-500",71045785,"Gehennas"
"29","26mV9PX3vfgDJkcB",3,5,"Lord Jaraxxus",39,2,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,1,"Dervin","Mage","Fire",20014.979102189,106949,106.949,1694569070838,1694568248998,"Lord Jaraxxus",39,"Top-100",59081030,"Faerlina"
"30","28a3RVxTqFnDhWLk",31,31,"Anub'arak",177,2,0,0,0,0,0,60,3,0,0,0,0,0,0,0,6,0,0,"镭较瘦","Mage","Fire",13688.593769393,136969,136.969,1691676901196,1691666139359,"Anub'arak",177,"200-500",3558278,"古雷曼格"
"31","2GDrLy9186BwZRcf",9,14,"Faction Champions",278,0,0,0,0,2,0,155,0,2,0,0,5,0,0,0,0,5,0,"Xilsy","Mage","Fire",14734.955578671,175929,175.929,1694564965686,1694562798740,"Faction Champions",278,"200-500",64707600,"Faerlina"
"32","2GTXVg3DPfhvjMkc",31,300,"Lord Jaraxxus",138,2,0,0,0,0,0,25,2,0,0,0,5,0,0,0,0,0,0,"Cuitz","Mage","Fire",19074.443439313,90646,90.646,1692107587539,1692096801003,"Lord Jaraxxus",138,"200-500",2559915,"阿拉希盆地"
"33","2GTXVg3DPfhvjMkc",45,297,"Anub'arak",120,2,0,0,0,1,0,39,2,2,0,0,5,0,0,0,5,0,0,"丷小火球","Mage","Fire",14018.422826331,111275,111.275,1692112368353,1692096801003,"Anub'arak",120,"200-500",3117764,"阿拉希盆地"
"34","2Gn4VxkFYzayJN3f",9,35,"Faction Champions",213,0,0,0,0,0,0,172,3,1,0,0,6,0,0,0,0,0,0,"Bazan","Mage","Fire",15031.869372716,201918,201.918,1694028276390,1694026137565,"Faction Champions",213,"200-500",49160733,"Earthshaker"
"35","2Pa9DhQc6r7WBzV8",5,15,"Faction Champions",184,0,0,0,0,0,1,164,0,0,0,0,4,0,0,0,0,0,0,"Yorito","Mage","Fire",15193.728056991,176309,176.309,1694101327191,1694100719525,"Faction Champions",184,"200-500",43272908,"Firemaw"
"36","2WAGjJZMrfCQazg3",11,5,"Anub'arak",148,2,0,0,0,3,0,46,0,0,0,0,0,0,0,6,6,0,0,"汽车法","Mage","Fire",13845.608867984,136491,136.491,1691935068566,1691930506401,"Anub'arak",148,"200-500",2541255,"逐風者"
"37","2XDRpnTZLJjrmAVG",2,20,"The Northrend Beasts",160,4,5,0,0,2,1,70,0,2,2,2,7,0,0,0,0,0,1,"華灬麗","Mage","Fire",12482.924714804,271571,271.571,1694176899029,1694176887750,"The Northrend Beasts",160,"200-500",1615825,"伊弗斯"
"38","2Xt7K9xvgMG83RVf",9,539,"The Northrend Beasts",74,4,6,2,0,0,1,95,2,2,2,2,9,0,0,9,0,0,1,"Fipi","Mage","Fire",12786.045953228,308658,308.658,1693836121980,1693827674795,"The Northrend Beasts",74,"Top-100",4465768,"阿拉希盆地"
"39","2YNgdncMbpT1qmFR",26,16,"The Northrend Beasts",236,4,0,0,0,0,1,49,2,2,0,2,7,0,0,0,0,0,0,"冬泉谷的雪","Mage","Fire",12313.425709914,210251,210.251,1692536079230,1692529205597,"The Northrend Beasts",236,"200-500",3483439,"伊弗斯"
"40","2Z6Fc4g1XGRMaNWT",2,28,"The Northrend Beasts",246,4,6,0,0,0,1,90,2,2,2,2,8,0,0,0,0,0,1,"阳氣挑灯","Mage","Fire",12300.488990438,300866,300.866,1691752041253,1691751739811,"The Northrend Beasts",246,"200-500",4223613,"伊弗斯"
"41","2dFtGjk8XMCPzqYQ",2,29,"The Northrend Beasts",295,2,0,0,0,2,0,62,0,2,0,0,5,0,0,5,0,0,1,"Bowlofmilk","Mage","Fire",12218.481281214,238367,238.367,1693242368146,1693241983694,"The Northrend Beasts",295,"200-500",84751591,"Gehennas"
"42","2hrYDMRfFH3KCzN7",3,14,"Lord Jaraxxus",267,2,2,0,0,0,0,43,3,0,0,0,6,0,0,0,0,0,0,"Хейсон","Mage","Fire",18438.460328282,133483,133.483,1691856968652,1691856487273,"Lord Jaraxxus",267,"200-500",74043935,"Пламегор"
"43","2k7AtWmjbn6fJR9D",25,30,"Lord Jaraxxus",46,2,0,2,0,1,0,18,2,2,0,0,0,0,0,0,0,0,0,"時見棲鴉","Mage","Fire",19891.339851952,94294,94.294,1694610685760,1694605359815,"Lord Jaraxxus",46,"Top-100",1803356,"阿拉希盆地"
"44","2k7AtWmjbn6fJR9D",32,30,"Twin Val'kyr",28,2,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,"時見棲鴉","Mage","Fire",20205.367763144,92478,92.478,1694612045855,1694605359815,"Twin Val'kyr",28,"Top-100",1803356,"阿拉希盆地"
"45","2k7AtWmjbn6fJR9D",37,30,"Anub'arak",189,2,0,0,0,3,0,42,0,0,0,0,0,0,0,0,6,0,0,"時見棲鴉","Mage","Fire",13607.984689336,112340,112.34,1694613315198,1694605359815,"Anub'arak",189,"200-500",1803356,"阿拉希盆地"
"46","2k7AtWmjbn6fJR9D",62,52,"The Northrend Beasts",2,2,0,0,0,0,1,55,2,2,0,2,4,0,4,4,4,0,0,"聖靈朧","Mage","Fire",14399.197410375,190799,190.799,1694618659685,1694605359815,"The Northrend Beasts",2,"Top-100",3424898,"阿拉希盆地"
"47","2k7AtWmjbn6fJR9D",62,186,"The Northrend Beasts",23,2,0,0,0,0,1,52,0,2,0,2,0,0,0,5,5,0,0,"小烏咪","Mage","Fire",13293.999975753,190799,190.799,1694618659685,1694605359815,"The Northrend Beasts",23,"Top-100",3953386,"阿拉希盆地"
"48","2k7AtWmjbn6fJR9D",73,186,"Twin Val'kyr",96,2,0,0,0,0,0,32,3,0,0,0,0,0,0,5,0,0,0,"小烏咪","Mage","Fire",19476.515294825,89867,89.867,1694620829746,1694605359815,"Twin Val'kyr",96,"Top-100",3953386,"阿拉希盆地"
"49","2qR4MpVWrL6gTdYD",2,31,"The Northrend Beasts",285,4,4,0,0,0,1,83,2,2,0,2,7,0,0,7,0,0,0,"Najíla","Mage","Fire",12232.780599401,274150,274.15,1694455292799,1694454621076,"The Northrend Beasts",285,"200-500",81053549,"Venoxis"
"50","2qwjdM1V4LmXZgJf",5,16,"Faction Champions",107,2,0,0,0,0,0,194,1,0,0,0,5,0,0,0,0,5,0,"Yaruuwu","Mage","Fire",15668.194480821,167996,167.996,1691027997899,1691027355818,"Faction Champions",107,"200-500",36510537,"Whitemane"
"51","2tG8VMyrPWKnvgRZ",2,17,"The Northrend Beasts",66,4,0,0,0,0,1,76,2,2,0,2,7,0,0,7,0,0,0,"Tmka","Mage","Fire",12835.134055359,255726,255.726,1690995923569,1690995912264,"The Northrend Beasts",66,"Top-100",71181520,"Gehennas"
"52","2tG8VMyrPWKnvgRZ",7,17,"Twin Val'kyr",291,2,0,0,0,0,0,44,3,0,0,0,6,0,0,0,6,0,0,"Tmka","Mage","Fire",18826.074898241,122593,122.593,1690996974536,1690995912264,"Twin Val'kyr",291,"200-500",71181520,"Gehennas"
"53","2vNMJWx7wnf1BDTb",30,5,"The Northrend Beasts",86,2,0,0,0,1,1,58,0,2,0,2,5,0,5,0,0,0,0,"炎爆丶","Mage","Fire",12733.0596197,198106,198.106,1693751237053,1693745750697,"The Northrend Beasts",86,"Top-100",4182128,"阿拉希盆地"
"54","2vNMJWx7wnf1BDTb",30,21,"The Northrend Beasts",93,2,0,0,0,2,1,47,0,2,0,2,0,0,0,5,0,0,0,"全能青年丶","Mage","Fire",12707.161206892,198106,198.106,1693751237053,1693745750697,"The Northrend Beasts",93,"Top-100",4903353,"阿拉希盆地"
"55","2vNMJWx7wnf1BDTb",57,5,"Anub'arak",119,2,0,0,0,3,0,45,0,2,0,0,6,0,0,0,6,0,0,"炎爆丶","Mage","Fire",14036.293253279,126580,126.58,1693758485839,1693745750697,"Anub'arak",119,"200-500",4182128,"阿拉希盆地"
"56","2vt4dfxnVqryJHBA",6,7,"Twin Val'kyr",136,2,2,0,0,3,0,57,0,0,0,0,6,0,0,0,6,0,0,"败坏灵童","Mage","Fire",19270.889752939,132194,132.194,1694089718625,1694088153708,"Twin Val'kyr",136,"200-500",7546957,"札里克"
"57","2vxyFRWgnVJq96Pw",5,11,"Faction Champions",148,2,0,0,0,0,0,149,2,2,0,0,5,0,0,0,0,0,0,"Mucoz","Mage","Fire",15394.57180389,141594,141.594,1693750594201,1693749941920,"Faction Champions",148,"200-500",83603063,"Gehennas"
"58","2ycFnmkNQH8XVKqx",3,25,"Lord Jaraxxus",139,2,2,0,0,1,0,39,2,0,0,0,5,0,0,0,0,0,0,"Klux","Mage","Fire",19072.706303253,127458,127.458,1693671358215,1693670434624,"Lord Jaraxxus",139,"200-500",12230664,"Faerlina"
"59","2zM3DRkycdbjNrtZ",5,22,"Faction Champions",149,0,0,0,0,0,0,158,0,0,0,0,3,0,0,3,0,3,1,"Severe","Mage","Fire",15372.421581507,173556,173.556,1694166554354,1694165872802,"Faction Champions",149,"200-500",15072186,"Arugal"
"60","31bMD2TqHm4XWVPY",24,9,"Twin Val'kyr",203,2,0,0,0,3,0,38,0,0,0,0,6,0,0,0,0,0,0,"白色普拉达","Mage","Fire",19040.043949458,100115,100.115,1693141546549,1693134182734,"Twin Val'kyr",203,"200-500",2286924,"阿拉希盆地"
"61","31bMD2TqHm4XWVPY",34,9,"Anub'arak",170,2,0,0,0,1,0,45,0,0,0,0,5,0,0,5,0,0,0,"白色普拉达","Mage","Fire",13713.051140931,129368,129.368,1693144920860,1693134182734,"Anub'arak",170,"200-500",2286924,"阿拉希盆地"
"62","34jXFchqTfzgtLHx",7,10,"Anub'arak",257,2,0,0,2,1,0,56,2,0,0,0,5,0,0,0,5,0,0,"Rulss","Mage","Fire",13312.840035994,144470,144.47,1693610560464,1693607426292,"Anub'arak",257,"200-500",71075416,"Gehennas"
"63","3AXm8wKJ6FTHDqdg",2,23,"The Northrend Beasts",84,4,5,0,0,0,1,75,2,2,0,2,7,0,7,7,0,0,1,"Ahlakazam","Mage","Fire",12736.209560819,266778,266.778,1692562272558,1692562261251,"The Northrend Beasts",84,"Top-100",77829444,"Faerlina"
"64","3Aax4HbmD6GfjFdC",4,19,"Twin Val'kyr",278,2,0,0,0,2,0,48,0,0,0,0,5,0,0,0,5,0,1,"梵法似瑾","Mage","Fire",18857.381988617,137402,137.402,1694095305669,1694094052216,"Twin Val'kyr",278,"200-500",2411630,"伊弗斯"
"65","3AnVkby4Z7PzHtf1",58,39,"Anub'arak",132,2,0,0,0,2,0,54,0,0,0,0,5,0,0,5,5,0,0,"爆爆大王","Mage","Fire",13957.326516246,134955,134.955,1692462881768,1692449041077,"Anub'arak",132,"200-500",4066437,"古雷曼格"
"66","3DaPM8KFqWCnGV7Z",13,11,"Anub'arak",118,2,0,0,0,1,0,61,2,0,0,0,5,0,0,0,5,5,0,"러니니","Mage","Fire",14038.237220232,129795,129.795,1691670168292,1691665879096,"Anub'arak",118,"200-500",25759492,"로크홀라"
"67","3DaPM8KFqWCnGV7Z",13,26,"Anub'arak",92,2,0,0,0,0,0,49,3,2,0,0,6,0,0,0,6,0,0,"Yaguch","Mage","Fire",14197.133941985,129795,129.795,1691670168292,1691665879096,"Anub'arak",92,"Top-100",25750836,"로크홀라"
"68","3KdTH69gbYMncPpF",2,33,"The Northrend Beasts",145,4,4,0,0,0,1,63,2,2,0,2,7,0,0,7,0,0,1,"Fegu","Mage","Fire",12507.1123595,247770,247.77,1692901541653,1692901389725,"The Northrend Beasts",145,"200-500",48055206,"Gehennas"
"69","3LrYNwnhWDCd6Gmc",13,153,"The Northrend Beasts",275,4,4,0,0,0,1,86,2,2,2,2,6,0,0,6,0,0,1,"Hotbüns","Mage","Fire",12253.65337221,313693,313.693,1694223475500,1694221354341,"The Northrend Beasts",275,"200-500",36555823,"Whitemane"
"70","3LrYNwnhWDCd6Gmc",17,153,"Twin Val'kyr",44,2,2,2,0,1,0,55,2,0,0,0,5,0,0,5,5,0,1,"Hotbüns","Mage","Fire",19911.463092007,146662,146.662,1694224638380,1694221354341,"Twin Val'kyr",44,"Top-100",36555823,"Whitemane"
"71","3NjxPdzt7BGvRZ4q",7,33,"Twin Val'kyr",247,2,2,4,0,0,0,58,3,2,0,0,7,0,0,0,0,0,0,"Nookeyqt","Mage","Fire",18927.957626491,134990,134.99,1692821417371,1692819986156,"Twin Val'kyr",247,"200-500",62261798,"Venoxis"
"72","3Rh9P1DQCtfjyYdx",5,10,"Faction Champions",263,0,0,0,0,0,0,132,2,0,0,0,5,0,0,0,0,0,0,"Sualc","Mage","Fire",14813.817330211,141764,141.764,1694107136331,1694105884274,"Faction Champions",263,"200-500",50043013,"Firemaw"
"73","3YLKCyBvmPHVjbJD",5,10,"Faction Champions",205,2,0,0,0,0,0,130,3,0,0,0,6,0,0,0,0,6,0,"Lafraid","Mage","Fire",15062.196399014,148015,148.015,1691604148755,1691603545187,"Faction Champions",205,"200-500",62022141,"Venoxis"
"74","3YLKCyBvmPHVjbJD",5,11,"Faction Champions",36,2,0,0,0,0,0,161,2,2,0,0,5,0,0,5,5,0,1,"Vänic","Mage","Fire",16727.358713644,148015,148.015,1691604148755,1691603545187,"Faction Champions",36,"Top-100",29234228,"Venoxis"
"75","3Yb4JdzQcGvPmARH",5,21,"Faction Champions",111,2,0,0,0,0,0,188,2,0,2,0,5,0,0,0,0,0,0,"Zhmutzmane","Mage","Fire",15635.660077046,173404,173.404,1692810969494,1692809290703,"Faction Champions",111,"200-500",61866556,"Venoxis"
"76","3b6cmwrBfpHZM4QG",2,6,"The Northrend Beasts",203,4,0,0,0,0,1,67,2,2,0,2,6,0,0,0,0,0,1,"Longwill","Mage","Fire",12378.034117057,257110,257.11,1693361808804,1693361748884,"The Northrend Beasts",203,"200-500",62543100,"Whitemane"
"77","3brNGLwcTRnHXdQ2",2,31,"The Northrend Beasts",234,4,0,0,0,2,1,75,0,2,0,2,7,0,0,7,0,0,0,"Infi","Mage","Fire",12314.805375852,255339,255.339,1694022412222,1694022064639,"The Northrend Beasts",234,"200-500",62009029,"Venoxis"
"78","3brNGLwcTRnHXdQ2",6,38,"Twin Val'kyr",143,2,2,0,0,0,0,50,3,2,0,0,6,0,0,0,0,0,1,"Zirak","Mage","Fire",19235.764542087,120667,120.667,1694023226930,1694022064639,"Twin Val'kyr",143,"200-500",22990857,"Venoxis"
"79","3ckHYpNLfzM7VvQr",5,5,"Faction Champions",166,2,0,0,0,0,0,168,0,0,0,0,5,0,0,0,0,5,0,"Tayl","Mage","Fire",15280.522287625,147122,147.122,1694191834151,1694191236645,"Faction Champions",166,"200-500",5109208,"Faerlina"
"80","3dgmfYMwHtZ2kFCh",34,47,"The Northrend Beasts",3,4,0,0,0,2,1,58,0,2,0,2,7,0,0,7,7,0,0,"拳頭哥哥","Mage","Fire",14096.763693573,192035,192.035,1693121551499,1693112331638,"The Northrend Beasts",3,"Top-100",2025416,"伊弗斯"
"81","3dgmfYMwHtZ2kFCh",37,47,"Lord Jaraxxus",204,2,0,0,0,1,0,25,1,0,0,0,4,0,0,0,0,0,0,"拳頭哥哥","Mage","Fire",18667.163503472,90573,90.573,1693123084365,1693112331638,"Lord Jaraxxus",204,"200-500",2025416,"伊弗斯"
"82","3fCHXmvD7P8TjNdW",7,12,"Twin Val'kyr",56,2,2,0,0,0,0,55,3,0,0,0,6,0,0,0,0,0,1,"Ínstead","Mage","Fire",19794.298114337,133640,133.64,1692300929911,1692300111457,"Twin Val'kyr",56,"Top-100",81972803,"Gehennas"
"83","3fYBJnAPRvxNTd1H",34,251,"Faction Champions",299,2,0,0,0,0,0,154,3,2,0,0,6,0,0,0,0,6,0,"Firegød","Mage","Fire",14669.686077163,166920,166.92,1693855202237,1693849573828,"Faction Champions",299,"200-500",69345175,"Golemagg"
"84","3gjZqBNfTr4mzbVn",5,25,"Faction Champions",75,2,2,0,0,0,0,172,3,0,2,0,6,0,0,0,0,0,1,"Miesty","Mage","Fire",15973.95386577,172540,172.54,1692235062776,1692234377377,"Faction Champions",75,"Top-100",35727865,"Whitemane"
"85","3hNtcFXpn7C2aKvW",21,708,"Twin Val'kyr",227,2,2,0,0,0,0,50,3,0,0,0,6,0,0,0,0,0,0,"Kolikkotane","Mage","Fire",18979.261160827,138677,138.677,1694110615190,1694095804731,"Twin Val'kyr",227,"200-500",45726052,"Gehennas"
"86","3jpqBHV1ZQwTKkvb",6,16,"Twin Val'kyr",212,2,2,0,0,3,0,53,0,0,0,0,6,0,0,0,0,0,0,"夜楓","Mage","Fire",19018.322049032,142233,142.233,1694175672851,1694173227182,"Twin Val'kyr",212,"200-500",3879725,"阿拉希盆地"
"87","3nrqtVFJ2yQWHxXN",5,20,"Faction Champions",39,2,0,0,0,0,0,175,2,0,2,0,5,0,0,5,0,0,1,"Mucos","Mage","Fire",16668.313532309,138040,138.04,1690394747273,1690393942282,"Faction Champions",39,"Top-100",73030075,"Gehennas"
"88","3pwbRDVBX1ZjtCdJ",2,21,"The Northrend Beasts",180,4,4,0,0,0,1,65,2,0,2,2,6,0,0,0,0,0,0,"Wits","Mage","Fire",12416.754950346,258257,258.257,1693964371625,1693963903455,"The Northrend Beasts",180,"200-500",48537930,"Mankrik"
"89","3vPM7YwRBKVhamX9",34,2,"Anub'arak",10,2,0,2,0,2,0,53,0,2,0,0,5,0,0,0,5,0,0,"敘述長詩","Mage","Fire",15619.415193533,125922,125.922,1693929874177,1693923232367,"Anub'arak",10,"Top-100",4799710,"逐風者"
"90","3xPtVN9vpFL2h1Ag",16,36,"Anub'arak",199,2,0,0,0,0,0,52,3,0,0,0,6,0,0,0,0,0,0,"Dafran","Mage","Fire",13562.521284405,132139,132.139,1693833905434,1693829035234,"Anub'arak",199,"200-500",28529000,"로크홀라"
"91","41D8v3jrMLzgRYnG",3,12,"Lord Jaraxxus",243,2,0,0,0,2,0,70,0,0,0,0,5,0,0,5,5,0,0,"芬莉","Mage","Fire",18520.926266072,182928,182.928,1694073785735,1694073364499,"Lord Jaraxxus",243,"200-500",4686827,"伊弗斯"
"92","48WjmYFPxz6V1DGv",5,19,"Faction Champions",134,2,2,0,0,0,0,116,3,0,0,0,6,0,0,0,0,0,1,"Delinquence","Mage","Fire",15495.635373426,142853,142.853,1693856096889,1693855452863,"Faction Champions",134,"200-500",71068433,"Golemagg"
"93","49rVY6HNhxyAmqLW",2,21,"The Northrend Beasts",60,4,2,0,0,0,0,90,2,2,2,2,6,0,0,0,0,0,1,"Aymanx","Mage","Fire",12854.253935594,283271,283.271,1694145789882,1694145778581,"The Northrend Beasts",60,"Top-100",50487684,"Whitemane"
"94","4AanVXDFH32dJR6N",16,26,"Twin Val'kyr",26,2,0,0,0,0,0,38,3,0,0,0,6,0,0,0,6,0,0,"구원","Mage","Fire",20209.576154967,93336,93.336,1693058105204,1693052520863,"Twin Val'kyr",26,"Top-100",30896948,"로크홀라"
"95","4AanVXDFH32dJR6N",29,286,"Lord Jaraxxus",59,2,2,0,0,0,0,44,3,0,0,0,6,0,0,0,0,0,0,"나이팅하니","Mage","Fire",19711.791642816,136266,136.266,1693063556499,1693052520863,"Lord Jaraxxus",59,"Top-100",32424349,"로크홀라"
